i,0,1,2,3,4,5,6,7
NAME(i),_,a,b,c,d,e,f,g
LLINK(i),7,0,1,2,3,4,5,6
RLINK(i),1,2,3,4,5,6,7,0
x,0,1,2,3,4,5,6,7
LEN(x),_,2,2,2,3,2,2,3
ULINK(x),_,20,24,17,27,28,22,29
DLINK(x),_,12,16,9,13,10,18,14
x,8,9,10,11,12,13,14,15
TOP(x),0,3,5,-1,1,4,7,-2
ULINK(x),_,3,5,9,1,4,7,12
DLINK(x),10,17,28,14,20,21,25,18
x,16,17,18,19,20,21,22,23
TOP(x),2,3,6,-3,1,4,6,-4
ULINK(x),2,9,6,16,12,13,18,20
DLINK(x),24,3,22,22,1,27,6,25
x,24,25,26,27,28,29,30
TOP(x),2,7,-5,4,5,7,-6
ULINK(x),16,14,24,21,10,25,27
DLINK(x),2,29,29,4,5,7,_
